Rollen;Verantwoordelijkheden
*Online Marketeer*;SEO Data
;Zoekwoorden in tekst
*Content Marketeer*;Communicatie
;Interviews
;Social Media uitingen
;Doelgroep communicatie
*Developer (front -end)*;HTML
;CSS
;Vormgeving
*Designer *         ;Vormgeving
*Commercieel persoon*;Acquisitie
;Transactierealisatie 
;Relatiemanagement
    ;
;
;
;
;
;
;
